answer_id,answers,url
1,Duration of MSIS program is 18 to 27 months. Besides students can also select the program duration based on their preferences of full time or part time course,https://www.scu.edu/business/ms-information-systems/
2,"Yes, we do offer part time courses for MSIS",https://www.scu.edu/business/ms-information-systems/
3,"No, MSIS program can be completed in 18 to 27 months. Besides,students can also select the program duration based on their preferences of full time or part time course",https://www.scu.edu/business/ms-information-systems/
5,"Yes, MSIS program offers students felxibility to complete the program in between 18 to 27 months. Students can select the program duration based on their preferences of full time or part time course",https://www.scu.edu/business/ms-information-systems/
6,"MSIS classes are mostly conducted in the evenings and on Saturdays to help students maintain work, life and study balance.",https://www.scu.edu/business/ms-information-systems/
7,"Yes, MSIS classes are mostly conducted in the evenings and on Saturdays to help students maintain work, life and study balance.",https://www.scu.edu/business/ms-information-systems/
8,"Yes, MSIS program offers students flexibility to complete the program in between 18 to 27 months. Students can select the program duration based on their preferences of full time or part time course",https://www.scu.edu/business/ms-information-systems/
9,Part-time classes are conducted in evenings and on Saturdays,https://www.scu.edu/business/ms-information-systems/
10,"Yes, SCU offers classes on Saturdays and evenings classes on weekdays",https://www.scu.edu/business/ms-information-systems/
11,"No,MSIS classes are mostly conducted in the evenings and on Saturdays to help students maintain work, life and study balance.",https://www.scu.edu/business/ms-information-systems/
12,"MSIS coursework falls within four broad clusters. The Core Information Systems is comprised of 16 units, the Business Core is 6 units, Electives consist of 16 units and the final 10 units for Integration.  The total unit count for an MSIS degree is 48 units. ",https://www.scu.edu/business/ms-information-systems/
13,"Yes,SCU gives students the choice to select classes according to their interests, needs and schedule. Custom class schedule helps students to choose classes as per their wish!",https://www.scu.edu/business/ms-information-systems/
14,"Yes, SCU's MSIS program is STEM-approved.",https://www.scu.edu/business/ms-information-systems/
15,"To apply for MSIS program, you have to submit an online application form along with $100 fee, resume, business essays, academic transcripts, GMAT or GRE and TOEFL scores and 2 recommendation letters.",https://www.scu.edu/business/ms-information-systems/prospective-students-faq/
16,The application fee for MSIS is $100,https://www.scu.edu/business/ms-information-systems/prospective-students-faq/
17,"The test scores can be electronically reported using the following codes:
GMAT School Code: BV3-WB-59
GRE School Code: 4851
TOEFL School Code: 4851",https://www.scu.edu/business/ms-information-systems/prospective-students-faq/
18,"Yes, if you wish to reserve your seat for more than 21 days, there is an option to pay a deposit of $750.",https://www.scu.edu/business/ms-information-systems/prospective-students-faq/
19,"Yes, the application fee for MSIS is $100",https://www.scu.edu/business/ms-information-systems/prospective-students-faq/
20,"Yes, To apply for MSIS program, you have to submit an online application form along with $100 fee, resume, business essays, academic transcripts, GMAT or GRE and TOEFL scores and 2 recommendation letters.",https://www.scu.edu/business/ms-information-systems/prospective-students-faq/
